ID Stasiun,Nama Stasiun,Lattitude,Longitude,Tanggal,rr,tt_air_avg,rh_avg,pp_air
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 15:40:00+00,5.4,25.77,86.8,1010.516
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 15:50:00+00,5.4,25.76,87.2,1010.433
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 16:00:00+00,5.4,25.74,87.6,1010.402
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 16:10:00+00,5.4,25.73,88,1010.241
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 16:20:00+00,5.4,25.66,88.1,1010.129
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 16:30:00+00,5.4,25.67,88.3,1010.051
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 16:40:00+00,5.4,25.57,88.9,1010.064
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 16:50:00+00,5.4,25.55,88.9,1009.794
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 17:00:00+00,5.4,25.66,89.4,1009.675
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 17:10:00+00,5.4,25.58,90.2,1009.605
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 17:20:00+00,5.4,25.48,90.3,1009.47
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 17:30:00+00,5.4,25.54,89.4,1009.349
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 17:40:00+00,5.4,25.62,87.9,1009.224
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 17:50:00+00,5.4,25.63,87.6,1009.058
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 18:00:00+00,5.4,25.56,87.4,1008.921
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 18:10:00+00,5.4,25.61,86.7,1008.874
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 18:20:00+00,5.4,25.73,85.7,1008.863
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 18:30:00+00,5.4,25.7,85.6,1008.762
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 18:40:00+00,5.4,25.73,85.1,1008.643
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 18:50:00+00,5.4,25.8,84.6,1008.559
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 19:00:00+00,5.4,25.86,84.3,1008.508
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 19:10:00+00,5.4,25.83,84.9,1008.41
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 19:20:00+00,5.4,25.71,85.7,1008.272
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 19:30:00+00,5.4,25.85,85.3,1008.297
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 19:40:00+00,5.4,25.99,84.8,1008.431
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 19:50:00+00,5.4,26.07,84.6,1008.488
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 20:00:00+00,5.4,26.19,83.9,1008.622
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 20:10:00+00,5.4,26.22,83.8,1008.656
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 20:20:00+00,5.4,26.2,83.9,1008.627
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 20:30:00+00,5.4,26.04,84.8,1008.703
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 20:40:00+00,5.4,25.96,85.2,1008.722
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 20:50:00+00,5.4,25.84,85.6,1008.605
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 21:00:00+00,5.4,25.7,86.2,1008.613
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 21:10:00+00,5.4,25.68,86,1008.746
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 21:20:00+00,5.4,25.7,85.5,1008.832
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 21:30:00+00,5.4,25.64,85.6,1008.921
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 21:40:00+00,5.4,25.75,84.2,1009.047
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 21:50:00+00,5.4,25.77,83.6,1009.224
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 22:00:00+00,5.4,25.71,83.4,1009.345
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 22:10:00+00,5.4,25.69,82.6,1009.502
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 22:20:00+00,5.4,25.82,81,1009.623
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 22:30:00+00,5.4,25.94,80,1009.649
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 22:40:00+00,5.4,25.95,79.61,1009.765
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 22:50:00+00,5.4,26.1,78.4,1009.877
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 23:00:00+00,5.4,26.24,77.49,1009.988
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 23:10:00+00,5.4,26.47,76.1,1010.062
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 23:20:00+00,5.4,26.69,75.17,1010.054
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 23:30:00+00,5.4,26.88,74.41,1010.164
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 23:40:00+00,5.4,27.03,74.15,1010.386
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 23:50:00+00,5.4,27.09,74.41,1010.474
